pair,Timestamp,VWAP,Liquidity,volatility,max,min,FD
AUDSGD.csv,2010-01-03 17:00:00,1.2573,7.438953488372093,0.006353011355084224,1.2631,1.2551,41375.00000000111
AUDSGD.csv,2010-01-03 23:00:00,1.2661,7.458823529411765,0.00737683519772217,1.2666,1.2573,36021.50537634461
AUDSGD.csv,2010-01-04 05:00:00,1.2756,8.48158640226629,0.009856278153216004,1.2766,1.2641,27360.0000000001
AUDSGD.csv,2010-01-04 11:00:00,1.2749,5.188622754491018,0.002980819838187441,1.2766,1.2728,75526.31578947317
AUDSGD.csv,2010-01-04 17:00:00,1.2733,6.060975609756097,0.004784455588831419,1.2792,1.2731,49344.262295082015
AUDSGD.csv,2010-01-04 23:00:00,1.2768,9.344537815126051,0.005729467813102587,1.2774,1.2701,40273.97260273926
AUDSGD.csv,2010-01-05 05:00:00,1.2752,8.377840909090908,0.006195487596102529,1.2791,1.2712,42278.48101265932
AUDSGD.csv,2010-01-05 11:00:00,1.2744,6.27906976744186,0.005419337692822387,1.2765,1.2696,43768.11594202958
AUDSGD.csv,2010-01-05 17:00:00,1.2754,5.524096385542169,0.003610198764230238,1.276,1.2714,70434.78260869661
AUDSGD.csv,2010-01-05 23:00:00,1.2746,8.031884057971014,0.00439146700683096,1.2772,1.2716,56071.4285714303
AUDSGD.csv,2010-01-06 05:00:00,1.2783,7.930434782608696,0.004778629885408246,1.2793,1.2732,52622.95081967218
AUDSGD.csv,2010-01-06 11:00:00,1.283,6.660919540229885,0.005149894717299477,1.2851,1.2785,44393.9393939398
AUDSGD.csv,2010-01-06 17:00:00,1.2856,6.444776119402985,0.006927854809450983,1.2896,1.2807,37640.4494382017
AUDSGD.csv,2010-01-06 23:00:00,1.282,9.008450704225352,0.0038929553518594778,1.2867,1.2817,66000.00000000141
AUDSGD.csv,2010-01-07 05:00:00,1.2823,9.304225352112676,0.003433179814661009,1.2838,1.2794,78181.8181818189
AUDSGD.csv,2010-01-07 11:00:00,1.2827,5.66764705882353,0.0030427122452417006,1.2835,1.2796,82307.692307692
AUDSGD.csv,2010-01-07 17:00:00,1.2793,6.522988505747127,0.00483997528866898,1.2837,1.2775,50161.29032258078
AUDSGD.csv,2010-01-07 23:00:00,1.2809,6.785923753665689,0.003673006826012815,1.2812,1.2765,69148.93617021384
AUDSGD.csv,2010-01-08 05:00:00,1.2837,11.241666666666667,0.00764919507832388,1.2871,1.2773,35204.081632653746
AUDSGD.csv,2010-01-08 11:00:00,1.2892,6.489736070381231,0.00520510819161517,1.2896,1.2829,44925.373134327354
AUDSGD.csv,2010-01-10 17:00:00,1.2925,7.326647564469914,0.0029403841655590355,1.2944,1.2906,83684.21052631522
AUDSGD.csv,2010-01-10 23:00:00,1.2928,6.335276967930029,0.0025551407223604536,1.2929,1.2896,97878.78787879208
AUDSGD.csv,2010-01-11 05:00:00,1.2905,6.847701149425287,0.003948079682338497,1.2938,1.2887,67058.8235294104
AUDSGD.csv,2010-01-11 11:00:00,1.2895,5.570200573065903,0.0037966381957653455,1.293,1.2881,66734.69387755232
AUDSGD.csv,2010-01-11 17:00:00,1.2874,7.446376811594203,0.005355410989829708,1.2911,1.2842,46231.88405797164
AUDSGD.csv,2010-01-11 23:00:00,1.2893,7.4479768786127165,0.004961629379012081,1.2928,1.2864,52343.75000000032
AUDSGD.csv,2010-01-12 05:00:00,1.2847,11.0,0.00693019822282973,1.2891,1.2802,36741.57303370824
AUDSGD.csv,2010-01-12 11:00:00,1.2788,7.493975903614458,0.008753120523718239,1.2851,1.2739,27410.71428571459
AUDSGD.csv,2010-01-12 17:00:00,1.2821,6.682634730538922,0.0036694305440239322,1.2833,1.2786,70212.76595744459
AUDSGD.csv,2010-01-12 23:00:00,1.2851,7.111747851002866,0.0040527120544513,1.2862,1.281,61730.76923076812
AUDSGD.csv,2010-01-13 05:00:00,1.2814,9.6016713091922,0.006079849647372217,1.2856,1.2778,44743.589743589575
AUDSGD.csv,2010-01-13 11:00:00,1.2829,7.39067055393586,0.0040575777471116995,1.2836,1.2784,58269.230769229725
AUDSGD.csv,2010-01-13 17:00:00,1.2885,7.156342182890856,0.00878919626589356,1.2891,1.2778,30000.000000000357
AUDSGD.csv,2010-01-13 23:00:00,1.2892,7.309659090909091,0.0041885462826872655,1.2923,1.2869,63518.51851851768
AUDSGD.csv,2010-01-14 05:00:00,1.2913,9.363636363636363,0.004263456976521793,1.2931,1.2876,58909.09090909264
AUDSGD.csv,2010-01-14 11:00:00,1.2922,5.896755162241888,0.0022450136308476134,1.2929,1.29,104827.58620690007
AUDSGD.csv,2010-01-14 17:00:00,1.2875,6.2042042042042045,0.005272844802694387,1.2926,1.2858,46617.6470588241
AUDSGD.csv,2010-01-14 23:00:00,1.2873,7.683908045977011,0.005360526194180541,1.2901,1.2832,44202.89855072382
AUDSGD.csv,2010-01-15 05:00:00,1.2844,9.840336134453782,0.005135929271439983,1.2888,1.2822,50151.51515151561
AUDSGD.csv,2010-01-15 11:00:00,1.2831,5.711711711711712,0.0037404680546150593,1.2858,1.281,65208.333333331466
AUDSGD.csv,2010-01-17 17:00:00,1.2796,6.363095238095238,0.004922308769304193,1.283,1.2767,52380.952380952614
AUDSGD.csv,2010-01-17 23:00:00,1.2845,5.643478260869565,0.004525416967079592,1.2847,1.2789,55517.241379310086
AUDSGD.csv,2010-01-18 05:00:00,1.2867,4.899696048632219,0.0031095739671004267,1.2882,1.2842,77499.99999999993
AUDSGD.csv,2010-01-18 11:00:00,1.2866,3.04296875,0.0016318675564634907,1.2882,1.2861,112380.95238095288
AUDSGD.csv,2010-01-18 17:00:00,1.2826,6.408955223880597,0.004048089067254647,1.2869,1.2817,62692.307692309245
AUDSGD.csv,2010-01-18 23:00:00,1.2827,6.299145299145299,0.003974215663529365,1.2855,1.2804,68235.29411764567
AUDSGD.csv,2010-01-19 05:00:00,1.284,10.933147632311977,0.006324429601871292,1.285,1.2769,41234.567901234586
AUDSGD.csv,2010-01-19 11:00:00,1.2834,5.77906976744186,0.0032689994187389457,1.2867,1.2825,79523.80952380988
AUDSGD.csv,2010-01-19 17:00:00,1.2794,9.247838616714697,0.006712617119895367,1.2846,1.276,38837.20930232585
AUDSGD.csv,2010-01-19 23:00:00,1.2762,10.893854748603353,0.004304320015809515,1.2803,1.2748,59636.363636362985
AUDSGD.csv,2010-01-20 05:00:00,1.2737,10.508333333333333,0.005249018257312825,1.2792,1.2725,46567.16417910498
AUDSGD.csv,2010-01-20 11:00:00,1.2742,6.899425287356322,0.0034583351025529747,1.2749,1.2705,72954.54545454613
AUDSGD.csv,2010-01-20 17:00:00,1.2759,7.9508670520231215,0.0036076231552467464,1.2769,1.2723,67826.08695652266
AUDSGD.csv,2010-01-20 23:00:00,1.2764,9.033802816901408,0.003759653970626975,1.2789,1.2741,66666.66666666784
AUDSGD.csv,2010-01-21 05:00:00,1.2712,12.416666666666666,0.009012480326016733,1.2802,1.2687,27652.17391304332
AUDSGD.csv,2010-01-21 11:00:00,1.2642,11.617977528089888,0.007336843973729432,1.2724,1.2631,35268.81720430075
AUDSGD.csv,2010-01-21 17:00:00,1.2672,8.304843304843304,0.0063179835732427156,1.2709,1.2629,39749.99999999996
