pair,Timestamp,VWAP,Liquidity,volatility,max,min,FD
EURGBP.csv,2010-01-03 17:00:00,0.8879,37.875,0.0035732569335180766,0.88871,0.88554,95268.13880126165
EURGBP.csv,2010-01-03 23:00:00,0.8879,88.60833333333333,0.002770789446596026,0.88877,0.88631,121138.21138211842
EURGBP.csv,2010-01-04 05:00:00,0.8956,151.04444444444445,0.010770453691791054,0.89583,0.88624,35766.42335766428
EURGBP.csv,2010-01-04 11:00:00,0.8953,50.06197183098592,0.003318360556468655,0.89649,0.89352,93939.39393939305
EURGBP.csv,2010-01-04 17:00:00,0.8963,35.0974930362117,0.0034275817500001755,0.89751,0.89444,95765.47231270304
EURGBP.csv,2010-01-04 23:00:00,0.8992,103.8,0.005084252846187425,0.89952,0.89496,74780.70175438582
EURGBP.csv,2010-01-05 05:00:00,0.899,133.12222222222223,0.004479424380999288,0.90142,0.89739,87096.77419354886
EURGBP.csv,2010-01-05 11:00:00,0.8981,64.27094972067039,0.0032381121114493567,0.90054,0.89763,119931.27147766454
EURGBP.csv,2010-01-05 17:00:00,0.8982,41.17094017094017,0.0025162790815705504,0.8991,0.89684,114601.76991150242
EURGBP.csv,2010-01-05 23:00:00,0.8972,118.16713091922006,0.007719204265839981,0.89933,0.89241,50867.05202312193
EURGBP.csv,2010-01-06 05:00:00,0.9,128.675,0.004563904401663158,0.90046,0.89636,81951.21951219527
EURGBP.csv,2010-01-06 11:00:00,0.8996,79.03072625698324,0.003789894587173098,0.90104,0.89763,89442.81524926914
EURGBP.csv,2010-01-06 17:00:00,0.8995,33.38068181818182,0.0019788971539456703,0.90037,0.89859,173595.50561797715
EURGBP.csv,2010-01-06 23:00:00,0.9007,96.0,0.00387601682198704,0.90251,0.89902,97421.2034383956
EURGBP.csv,2010-01-07 05:00:00,0.8984,134.76111111111112,0.00390000120370409,0.90159,0.89808,99430.19943019906
EURGBP.csv,2010-01-07 11:00:00,0.8981,47.5819209039548,0.002325997405079031,0.89975,0.89766,156459.33014353795
EURGBP.csv,2010-01-07 17:00:00,0.8978,30.292957746478873,0.001926380067902438,0.89879,0.89706,169364.16184971007
EURGBP.csv,2010-01-07 23:00:00,0.8932,83.65642458100558,0.005989731408312503,0.89835,0.89298,63314.71135940426
EURGBP.csv,2010-01-08 05:00:00,0.8974,162.58333333333334,0.006320839472119833,0.89756,0.89191,63362.831858406586
