pair,Timestamp,VWAP,Liquidity,volatility,max,min,FD
EURTRY.csv,2010-01-03 17:00:00,2.1385,14.0,0.005945064822374184,2.14189,2.12919,26220.47244094456
EURTRY.csv,2010-01-03 23:00:00,2.1411,26.422535211267604,0.010291600169883992,2.14259,2.12059,15136.36363636347
EURTRY.csv,2010-01-04 05:00:00,2.1321,41.644444444444446,0.006307898657248287,2.14399,2.13049,23851.851851851734
EURTRY.csv,2010-01-04 11:00:00,2.1231,17.997150997150996,0.005226133106837555,2.13149,2.12039,29729.729729730032
EURTRY.csv,2010-01-04 17:00:00,2.1247,14.61807580174927,0.0029673390840947804,2.12619,2.11989,52380.952380952614
EURTRY.csv,2010-01-04 23:00:00,2.1234,35.49299719887955,0.0081864525925613,2.13459,2.11719,19999.99999999965
EURTRY.csv,2010-01-05 05:00:00,2.1253,43.358333333333334,0.003806401908526887,2.13219,2.12409,42469.135802467994
EURTRY.csv,2010-01-05 11:00:00,2.1143,25.30635838150289,0.00519320680520227,2.12499,2.11399,31363.63636363602
EURTRY.csv,2010-01-05 17:00:00,2.1129,16.01780415430267,0.003502020001873359,2.11639,2.10899,43378.37837837795
EURTRY.csv,2010-01-05 23:00:00,2.1188,35.7887323943662,0.003923497589376009,2.11959,2.11129,42530.12048192671
EURTRY.csv,2010-01-06 05:00:00,2.1208,37.016666666666666,0.003963621192633152,2.12339,2.11499,41309.52380952399
EURTRY.csv,2010-01-06 11:00:00,2.1195,27.879213483146067,0.0028765291330038376,2.12429,2.11819,54426.229508196775
EURTRY.csv,2010-01-06 17:00:00,2.1193,13.306501547987617,0.004717322138334485,2.12529,2.11529,31799.999999999265
EURTRY.csv,2010-01-06 23:00:00,2.1199,34.2296918767507,0.0029261130671559385,2.12229,2.11609,54677.4193548369
EURTRY.csv,2010-01-07 05:00:00,2.108,53.12777777777778,0.007417977018445638,2.12269,2.10699,22484.07643312127
EURTRY.csv,2010-01-07 11:00:00,2.1063,27.73654390934844,0.002277228361492222,2.11029,2.10549,71458.3333333346
EURTRY.csv,2010-01-07 17:00:00,2.1061,10.961988304093568,0.002468789264598092,2.10839,2.10319,62500.00000000154
EURTRY.csv,2010-01-07 23:00:00,2.1044,34.204081632653065,0.008498441622473317,2.11029,2.09239,15586.592178770927
