pair,Timestamp,VWAP,Liquidity,volatility,max,min,FD
NZDHKD.csv,2010-01-03 17:00:00,5.5884,1.0,0.007409589615861896,5.6242,5.5827,5012.048192771073
NZDHKD.csv,2010-01-03 23:00:00,5.6365,1.0,0.008451609743895673,5.637,5.5896,4367.0886075949675
NZDHKD.csv,2010-01-04 05:00:00,5.6886,1.0,0.009921563977370616,5.6891,5.633,3707.6648841354845
NZDHKD.csv,2010-01-04 11:00:00,5.6942,1.0,0.003990243281792951,5.7013,5.6786,9162.995594713859
NZDHKD.csv,2010-01-04 17:00:00,5.6834,1.0,0.004954772998311749,5.7099,5.6817,7234.042553191489
NZDHKD.csv,2010-01-04 23:00:00,5.7099,1.0,0.005724121874631764,5.7119,5.6793,6472.392638036729
NZDHKD.csv,2010-01-05 05:00:00,5.7123,1.0,0.007360337107407325,5.7288,5.6868,4904.761904761926
NZDHKD.csv,2010-01-05 11:00:00,5.6979,1.0,0.00718165746969234,5.7177,5.6768,5012.224938875341
NZDHKD.csv,2010-01-05 17:00:00,5.6945,1.0,0.008544616578146216,5.6976,5.649,4135.802469135767
NZDHKD.csv,2010-01-05 23:00:00,5.687,1.0,0.0053472540627488565,5.6959,5.6655,6809.210526315744
NZDHKD.csv,2010-01-06 05:00:00,5.6912,1.0,0.0038177564846632157,5.6945,5.6728,9677.419354838687
NZDHKD.csv,2010-01-06 11:00:00,5.7218,1.0,0.008036976595964038,5.7263,5.6804,4553.376906318033
NZDHKD.csv,2010-01-06 17:00:00,5.7246,1.0,0.008223448159253884,5.756,5.7089,4309.978768577462
NZDHKD.csv,2010-01-06 23:00:00,5.6994,1.0,0.006386275431686008,5.7299,5.6934,5698.63013698627
NZDHKD.csv,2010-01-07 05:00:00,5.6879,1.0,0.0059295767727644486,5.7013,5.6676,6142.4332344214345
NZDHKD.csv,2010-01-07 11:00:00,5.6815,1.0,0.003185131001710581,5.6928,5.6747,11270.718232043919
NZDHKD.csv,2010-01-07 17:00:00,5.6736,1.0,0.0034874552332947563,5.6874,5.6676,10353.535353535333
NZDHKD.csv,2010-01-07 23:00:00,5.6801,1.0,0.0040039927989865874,5.6801,5.6574,9074.889867841255
NZDHKD.csv,2010-01-08 05:00:00,5.6824,1.0,0.010973314543195733,5.7155,5.6532,3226.3242375602144
NZDHKD.csv,2010-01-08 11:00:00,5.7126,1.0,0.007255820285816622,5.7191,5.6777,4927.536231884019
NZDHKD.csv,2010-01-10 17:00:00,5.743,1.0,0.0036612254595303983,5.7483,5.7273,10047.619047618668
NZDHKD.csv,2010-01-10 23:00:00,5.7377,1.0,0.0032425395811914166,5.7436,5.725,11182.795698924629
NZDHKD.csv,2010-01-11 05:00:00,5.7463,1.0,0.0049270501436579186,5.7562,5.7279,7314.4876325088935
NZDHKD.csv,2010-01-11 11:00:00,5.7539,1.0,0.004133531425259429,5.7676,5.7438,8739.495798319474
NZDHKD.csv,2010-01-11 17:00:00,5.737,1.0,0.006235070984806127,5.7562,5.7204,5726.256983240215
NZDHKD.csv,2010-01-11 23:00:00,5.7552,1.0,0.00513284283086483,5.7628,5.7333,6915.2542372880125
NZDHKD.csv,2010-01-12 05:00:00,5.755,1.0,0.007945496018248082,5.7587,5.7131,4561.403508771899
NZDHKD.csv,2010-01-12 11:00:00,5.7267,1.0,0.007029233841951459,5.7528,5.7125,4987.593052109263
NZDHKD.csv,2010-01-12 17:00:00,5.7438,1.0,0.005164828254624783,5.7475,5.7179,6925.675675675815
NZDHKD.csv,2010-01-12 23:00:00,5.7548,1.0,0.0034097967924032,5.7566,5.737,10612.24489795939
NZDHKD.csv,2010-01-13 05:00:00,5.7362,1.0,0.0069991494523088576,5.7573,5.7171,5049.751243781148
NZDHKD.csv,2010-01-13 11:00:00,5.7401,1.0,0.004269750292222816,5.751,5.7265,8408.163265305906
NZDHKD.csv,2010-01-13 17:00:00,5.7444,1.0,0.004509461613719313,5.7543,5.7284,7915.057915057904
NZDHKD.csv,2010-01-13 23:00:00,5.7588,1.0,0.004761902029325455,5.7707,5.7433,7664.23357664231
NZDHKD.csv,2010-01-14 05:00:00,5.7559,1.0,0.004394138854392789,5.7693,5.744,8181.8181818180055
NZDHKD.csv,2010-01-14 11:00:00,5.7624,1.0,0.002274291266027041,5.7653,5.7522,15877.86259542025
NZDHKD.csv,2010-01-14 17:00:00,5.7318,1.0,0.007729747064776982,5.7624,5.718,4707.2072072071605
NZDHKD.csv,2010-01-14 23:00:00,5.7335,1.0,0.0041542992010771196,5.7374,5.7136,8529.411764705708
NZDHKD.csv,2010-01-15 05:00:00,5.7183,1.0,0.004979259502511274,5.7404,5.7119,7263.157894736793
NZDHKD.csv,2010-01-15 11:00:00,5.7261,1.0,0.0036681247711149627,5.735,5.714,9523.809523809567
NZDHKD.csv,2010-01-17 17:00:00,5.7123,1.0,0.004261934686059094,5.7123,5.688,8930.041152263297
NZDHKD.csv,2010-01-17 23:00:00,5.7185,1.0,0.003481819927098609,5.7263,5.7064,10804.020100502617
NZDHKD.csv,2010-01-18 05:00:00,5.742,1.0,0.004709945462161837,5.745,5.718,8074.074074074034
NZDHKD.csv,2010-01-18 11:00:00,5.7355,1.0,0.002247764557075747,5.7448,5.7319,15891.472868217983
NZDHKD.csv,2010-01-18 17:00:00,5.734,1.0,0.003135779497612756,5.7497,5.7317,11833.333333333469
NZDHKD.csv,2010-01-18 23:00:00,5.7309,1.0,0.004253645419434113,5.7481,5.7237,8893.442622950828
NZDHKD.csv,2010-01-19 05:00:00,5.733,1.0,0.007611196058968728,5.7379,5.6944,4988.505747126452
NZDHKD.csv,2010-01-19 11:00:00,5.712,1.0,0.0066107566953732015,5.744,5.7061,5620.052770448608
NZDHKD.csv,2010-01-19 17:00:00,5.6662,1.0,0.010167505136444448,5.7106,5.6528,3754.325259515552
NZDHKD.csv,2010-01-19 23:00:00,5.63,1.0,0.007875281919406542,5.6665,5.622,4898.876404494359
NZDHKD.csv,2010-01-20 05:00:00,5.5963,1.0,0.0050347602101493485,5.6178,5.5896,7659.574468085106
NZDHKD.csv,2010-01-20 11:00:00,5.6053,1.0,0.004794320137271954,5.6093,5.5825,8134.328358208772
NZDHKD.csv,2010-01-20 17:00:00,5.6014,1.0,0.005119840916988682,5.618,5.5893,7526.132404181024
NZDHKD.csv,2010-01-20 23:00:00,5.5729,1.0,0.00771928965694488,5.6082,5.565,5069.444444444482
NZDHKD.csv,2010-01-21 05:00:00,5.5632,1.0,0.010465638647922208,5.6094,5.551,3698.630136986315
NZDHKD.csv,2010-01-21 11:00:00,5.5191,1.0,0.009981649168195886,5.5718,5.5165,3924.050632911399
NZDHKD.csv,2010-01-21 17:00:00,5.5395,1.0,0.005694274046109974,5.5456,5.5141,6825.39682539676
NZDHKD.csv,2010-01-21 23:00:00,5.547,1.0,0.007169211029829942,5.5748,5.535,5427.135678392013
NZDHKD.csv,2010-01-22 05:00:00,5.531,1.0,0.009087681187278155,5.563,5.5127,4314.115308151093
NZDHKD.csv,2010-01-22 11:00:00,5.5166,1.0,0.006668351121239971,5.5518,5.5149,5907.859078590761
NZDHKD.csv,2010-01-24 17:00:00,5.5608,1.0,0.00800060312388119,5.5708,5.5264,4977.477477477429
NZDHKD.csv,2010-01-24 23:00:00,5.5418,1.0,0.007294849694940393,5.568,5.5275,5382.716049382748
NZDHKD.csv,2010-01-25 05:00:00,5.5477,1.0,0.006565786098999661,5.5637,5.5273,6098.901098901175
NZDHKD.csv,2010-01-25 11:00:00,5.5465,1.0,0.0025419266184480743,5.5523,5.5382,15390.070921985814
NZDHKD.csv,2010-01-25 17:00:00,5.5321,1.0,0.006522149046383129,5.5661,5.5299,5966.85082872928
NZDHKD.csv,2010-01-25 23:00:00,5.4986,1.0,0.00831500294400301,5.5349,5.4891,4716.1572052401
NZDHKD.csv,2010-01-26 05:00:00,5.4897,1.0,0.009623692875699167,5.5094,5.4566,4166.666666666635
NZDHKD.csv,2010-01-26 11:00:00,5.5064,1.0,0.005972730589919323,5.521,5.4881,6595.744680851122
NZDHKD.csv,2010-01-26 17:00:00,5.5024,1.0,0.003797706271723411,5.514,5.4931,10669.856459330073
NZDHKD.csv,2010-01-26 23:00:00,5.4926,1.0,0.0063397444234364496,5.503,5.4682,6350.574712643729
NZDHKD.csv,2010-01-27 05:00:00,5.4951,1.0,0.007014393931588843,5.5227,5.4841,5725.388601036176
NZDHKD.csv,2010-01-27 11:00:00,5.4926,1.0,0.0054320752069317675,5.4979,5.4681,7449.664429530245
NZDHKD.csv,2010-01-27 17:00:00,5.5176,1.0,0.008010251941612668,5.5196,5.4756,4795.45454545459
