pair,Timestamp,VWAP,Liquidity,volatility,max,min,FD
NZDSGD.csv,2010-01-03 17:00:00,1.0107,4.93968253968254,0.008783480852575598,1.0182,1.0093,33820.224719101476
NZDSGD.csv,2010-01-03 23:00:00,1.0156,4.801749271137027,0.006318289594797042,1.0169,1.0105,53437.50000000032
NZDSGD.csv,2010-01-04 05:00:00,1.0247,6.327683615819209,0.01010782567812414,1.0255,1.0152,31747.572815534055
NZDSGD.csv,2010-01-04 11:00:00,1.0252,4.454545454545454,0.004489632449205503,1.0272,1.0226,65217.39130434871
NZDSGD.csv,2010-01-04 17:00:00,1.0224,4.130030959752322,0.005855462530176184,1.0282,1.0222,52333.333333333285
NZDSGD.csv,2010-01-04 23:00:00,1.0268,6.364672364672365,0.007911450524424731,1.0275,1.0194,38024.69135802471
NZDSGD.csv,2010-01-05 05:00:00,1.0262,6.526912181303116,0.007895754937504707,1.0303,1.0222,37777.777777777796
NZDSGD.csv,2010-01-05 11:00:00,1.026,4.9178885630498534,0.006831228588019005,1.0283,1.0213,44142.85714285781
NZDSGD.csv,2010-01-05 17:00:00,1.0242,4.0711974110032365,0.005078136234246448,1.0269,1.0217,48461.53846153966
NZDSGD.csv,2010-01-05 23:00:00,1.0225,5.457971014492753,0.00488686690639239,1.0253,1.0203,67399.99999999844
NZDSGD.csv,2010-01-06 05:00:00,1.0233,6.045454545454546,0.004499561353903277,1.0243,1.0197,71304.34782608792
NZDSGD.csv,2010-01-06 11:00:00,1.0287,5.134556574923548,0.007014714991450684,1.0294,1.0222,43749.99999999942
NZDSGD.csv,2010-01-06 17:00:00,1.0289,4.868501529051988,0.007579776208489341,1.0336,1.0258,34871.794871794744
NZDSGD.csv,2010-01-06 23:00:00,1.0256,6.43342776203966,0.004767293669920503,1.0299,1.025,67142.85714285541
NZDSGD.csv,2010-01-07 05:00:00,1.024,6.228169014084507,0.005277781448639574,1.026,1.0206,60185.18518518439
NZDSGD.csv,2010-01-07 11:00:00,1.023,4.0182926829268295,0.003420105093751833,1.0252,1.0217,84285.71428571822
NZDSGD.csv,2010-01-07 17:00:00,1.0214,3.88855421686747,0.004009250848563884,1.0248,1.0207,73414.6341463416
NZDSGD.csv,2010-01-07 23:00:00,1.0231,4.551319648093842,0.003131931464889852,1.0234,1.0202,87187.4999999975
NZDSGD.csv,2010-01-08 05:00:00,1.0236,7.094827586206897,0.011541892764730596,1.0272,1.0154,24576.271186441074
NZDSGD.csv,2010-01-08 11:00:00,1.0265,4.5186335403726705,0.006631267200152073,1.0286,1.0218,43529.41176470641
NZDSGD.csv,2010-01-10 17:00:00,1.027,4.864306784660767,0.004087076135930428,1.0297,1.0255,78333.33333333368
NZDSGD.csv,2010-01-10 23:00:00,1.0265,4.5,0.0027282665336343655,1.0276,1.0248,112142.8571428517
NZDSGD.csv,2010-01-11 05:00:00,1.0272,5.379411764705883,0.004573906806219627,1.0299,1.0252,68510.63829787017
NZDSGD.csv,2010-01-11 11:00:00,1.0291,4.745562130177515,0.004272700083862329,1.0318,1.0274,67954.54545454608
NZDSGD.csv,2010-01-11 17:00:00,1.0281,4.693939393939394,0.004668942776270232,1.03,1.0252,58541.66666666499
NZDSGD.csv,2010-01-11 23:00:00,1.0311,5.195266272189349,0.0046598448269374055,1.0326,1.0278,68541.66666666788
NZDSGD.csv,2010-01-12 05:00:00,1.0295,7.5508474576271185,0.007197788897281558,1.0313,1.0239,44189.18918918875
NZDSGD.csv,2010-01-12 11:00:00,1.0263,4.726708074534161,0.006720656566221945,1.0296,1.0227,41884.05797101372
NZDSGD.csv,2010-01-12 17:00:00,1.0289,4.4880239520958085,0.004088397757851522,1.0294,1.0252,74285.71428571068
